full_name,year,inc_decile_p0p10,inc_decile_p10p20,inc_decile_p20p30,inc_decile_p30p40,inc_decile_p40p50,inc_decile_p50p60,inc_decile_p60p70,inc_decile_p70p80,inc_decile_p80p90,inc_decile_p90p100,country_code,total_population,mean_income
Afghanistan,1980,194,1552,2610,3261,3914,4842,6104,6952,9234,28649,AF,5810837,6731
Afghanistan,1981,202,1615,2715,3393,4073,5038,6351,7233,9607,29808,AF,5695811,7004
Afghanistan,1982,211,1688,2839,3547,4258,5267,6640,7562,10045,31164,AF,5538564,7322
Afghanistan,1983,225,1804,3032,3790,4548,5627,7093,8078,10730,33291,AF,5359059,7822
Afghanistan,1984,240,1917,3223,4028,4835,5982,7541,8587,11407,35389,AF,5181504,8315
Afghanistan,1985,251,2011,3380,4224,5070,6272,7907,9005,11961,37110,AF,5022770,8719
Afghanistan,1986,260,2079,3496,4369,5244,6487,8177,9313,12370,38379,AF,4917466,9017
Afghanistan,1987,251,2008,3376,4219,5064,6265,7897,8994,11946,37063,AF,4851753,8708
Afghanistan,1988,230,1839,3092,3864,4638,5738,7233,8237,10941,33946,AF,4848212,7976
Afghanistan,1989,208,1664,2798,3496,4196,5191,6544,7453,9899,30713,AF,4931563,7216
Afghanistan,1990,193,1541,2591,3238,3886,4808,6061,6902,9168,28445,AF,5107457,6683
Afghanistan,1991,166,1327,2231,2789,3347,4141,5220,5944,7896,24498,AF,5477524,5756
Afghanistan,1992,149,1189,1998,2497,2997,3708,4674,5323,7070,21936,AF,5972449,5154
Afghanistan,1993,115,920,1546,1932,2319,2869,3616,4118,5470,16972,AF,6524642,3988
Afghanistan,1994,77,620,1042,1302,1562,1933,2437,2775,3686,11436,AF,7054424,2687
Afghanistan,1995,94,750,1261,1575,1891,2339,2949,3358,4461,13839,AF,7515494,3252
Afghanistan,1996,96,770,1295,1618,1942,2403,3029,3449,4582,14215,AF,7789528,3340
Afghanistan,1997,90,723,1216,1519,1823,2256,2844,3238,4301,13346,AF,7957709,3136
Afghanistan,1998,85,679,1142,1427,1712,2118,2670,3041,4039,12532,AF,8076740,2944
Afghanistan,1999,78,628,1056,1319,1584,1959,2470,2813,3736,11591,AF,8218585,2723
Afghanistan,2000,73,582,978,1222,1467,1814,2287,2605,3460,10734,AF,8427239,2522
Afghanistan,2001,66,526,885,1106,1327,1642,2070,2357,3131,9713,AF,8755669,2282
Afghanistan,2002,85,684,1149,1436,1724,2133,2688,3062,4067,12617,AF,9178304,2964
Afghanistan,2003,88,707,1188,1484,1782,2204,2779,3164,4203,13040,AF,9658030,3064
Afghanistan,2004,85,678,1140,1425,1710,2116,2667,3037,4034,12517,AF,10143117,2941
Afghanistan,2005,90,722,1214,1517,1820,2252,2839,3233,4294,13324,AF,10599912,3131
Afghanistan,2006,92,734,1234,1543,1852,2291,2887,3288,4368,13551,AF,10930261,3184
Afghanistan,2007,102,816,1372,1714,2057,2545,3208,3654,4853,15057,AF,11203394,3538
Afghanistan,2008,103,821,1379,1724,2069,2560,3227,3675,4881,15144,AF,11448635,3558
Afghanistan,2009,127,1019,1733,2139,2523,3078,3869,4445,5869,17528,AF,11710655,4233
Afghanistan,2010,143,1142,1963,2410,2822,3424,4314,5035,6652,19536,AF,12021553,4744
Afghanistan,2011,143,1141,1973,2401,2773,3328,4174,4880,6407,18204,AF,12470462,4542
Afghanistan,2012,159,1271,2209,2672,3059,3643,4561,5358,7009,19463,AF,13005471,4940
Afghanistan,2013,159,1272,2199,2660,3047,3633,4582,5396,7086,19893,AF,13608494,4993
Afghanistan,2014,155,1236,2126,2568,2941,3508,4453,5252,6917,19572,AF,14249963,4873
Afghanistan,2015,152,1212,2072,2499,2857,3405,4347,5125,6761,19219,AF,14907236,4765
Afghanistan,2016,147,1175,1998,2409,2758,3294,4240,5015,6646,19126,AF,15522463,4681
Afghanistan,2017,143,1146,1937,2338,2681,3210,4169,4953,6596,19242,AF,16130537,4641
Afghanistan,2018,139,1115,1884,2274,2608,3122,4056,4818,6417,18720,AF,16739756,4515
Afghanistan,2019,140,1119,1893,2284,2620,3136,4074,4839,6445,18802,AF,17365382,4535
Afghanistan,2020,128,1020,1725,2082,2388,2859,3713,4411,5875,17138,AF,18018054,4134
Albania,1980,313,2504,4360,5561,6964,8308,10177,12414,16121,30598,AL,1416100,9732
Albania,1981,322,2576,4486,5721,7165,8547,10470,12771,16585,31479,AL,1461123,10012
Albania,1982,322,2573,4481,5714,7156,8537,10458,12756,16565,31442,AL,1506442,10000
Albania,1983,313,2501,4356,5555,6956,8299,10166,12401,16103,30565,AL,1552840,9721
Albania,1984,297,2374,4134,5273,6603,7877,9649,11770,15285,29012,AL,1601396,9227
Albania,1985,292,2336,4067,5187,6495,7749,9492,11579,15036,28540,AL,1652343,9077
Albania,1986,299,2390,4161,5307,6646,7929,9713,11848,15385,29202,AL,1706750,9288
Albania,1987,286,2287,3982,5078,6359,7586,9293,11336,14721,27941,AL,1762953,8887
Albania,1988,274,2192,3817,4869,6097,7273,8910,10868,14113,26788,AL,1815798,8520
Albania,1989,296,2366,4119,5254,6579,7849,9614,11728,15230,28907,AL,1859033,9194
Albania,1990,258,2067,3599,4591,5749,6858,8401,10248,13307,25258,AL,1888869,8034
Albania,1991,176,1410,2455,3131,3921,4678,5730,6989,9076,17227,AL,1888041,5479
